doi,resource_type,resource_link
10.26508/lsa.202000955,PDF,https://www.life-science-alliance.org/content/lsa/4/2/e202000955.full.pdf
10.26508/lsa.202000955,Preprint,https://dx.doi.org/10.1101/2020.09.08.20189092
10.26508/lsa.202000955,Code,https://github.com/ElementoLab/covid-flowcyto
10.1038/s41388-020-01584-6,Preprint,https://dx.doi.org/10.1101/422832
10.1038/s41586-020-2424-4,Data,http://structural-immunity-paper.medical-epigenomics.org/
10.1038/s41586-020-2424-4,Data,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE134663
10.1038/s41586-020-2424-4,Code,https://github.com/epigen/StructuralImmunity
10.3390/cells9061484,,
10.1016/j.cmet.2020.03.003,Data,https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7345/
10.1016/j.cmet.2020.03.003,Data,https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7525/
10.1038/s41467-019-14081-6,Preprint,https://dx.doi.org/10.1038/s41467-019-14081-6
10.1038/s41467-019-14081-6,Data,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE111015
10.1038/s41467-019-14081-6,Code,https://github.com/epigen/cll-ibrutinib_time
10.1016/j.immuni.2019.12.002,PDF,https://dx.doi.org/10.1016/j.immuni.2019.12.002
10.1016/j.immuni.2019.12.002,Data,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE130884
10.1016/j.celrep.2019.10.018,Data,https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7525/
10.1016/j.celrep.2019.10.018,Data,https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7375/
10.1016/j.celrep.2019.10.018,Data,https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7345/
10.1161/CIRCRESAHA.118.314601,,
10.1038/s41588-019-0477-9,Data,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE108390
10.1038/s41588-019-0477-9,Code,https://github.com/epigen/baf-complex
10.1038/s41588-019-0413-z,Data,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE105786
10.1038/s41588-019-0413-z,Code,https://github.com/epigen/mthfd1
10.1038/s41589-018-0205-2,PDF,https://www.nature.com/articles/s41589-018-0205-2.epdf?author_access_token=bhLY62eOUKzMxIek0Lrur9RgN0jAjWel9jnR3ZoTv0OorJZAyhsTHb_lKvE8iHB4D-HCNtQW3iuHJ6rd4yyhVuqSRybOkvDAylqw3Y4ls_TSAbSvsrbyBKCASfcuMe_LYEtnAVhV2dzkOxsLOLffEA%3D%3D
10.1038/s41589-018-0205-2,Data,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE100672
10.1038/s41589-018-0205-2,Code,https://github.com/epigen/cll-ibrutinib
10.1016/j.stem.2018.06.014,Data,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE99631
10.1038/nmeth.4177,PDF,http://rdcu.be/oDFf
10.1038/nmeth.4177,Data,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81274
10.1038/nmeth.4177,Code,https://github.com/epigen/crop-seq
10.1038/nn.4462,Data,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE74672
10.1002/hep.28970,,
10.1038/ncomms11938,PDF,http://www.nature.com/ncomms/2016/160627/ncomms11938/pdf/ncomms11938.pdf
10.1038/ncomms11938,Data,https://ega-archive.org/studies/EGAS00001001821
10.1038/ncomms11938,Data,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81274
10.1038/ncomms11938,Code,https://github.com/epigen/cll-chromatin
10.1038/nmeth.3542,PDF,http://www.cemm.oeaw.ac.at/fileadmin/img/Research/research/Schmidl_et_al_Nature_Methods_2015.pdf
10.1038/nmeth.3542,Data,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70482
10.1038/nmeth.3542,Code,https://github.com/epigen/chipmentation
10.1101/gr.162529.113,PDF,http://genome.cshlp.org/content/24/4/639.full.pdf
10.1101/gr.162529.113,Data,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE46488
10.1101/2020.10.08.331322,Preprint,https://dx.doi.org/10.1101/2020.10.08.331322
10.1101/2020.10.08.331322,Code,https://github.com/pepkit/peppy
10.6084/m9.figshare.884562,Preprint,http://files.figshare.com/1360952/ChIP_chromprep_Oikopleura.pdf
